INFO  - 2015-06-28 10:53:50.947; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2015-06-28 10:53:51.203; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2015-06-28 10:53:51.211; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /opt/solr/solr/collection1/, dataDir=/opt/solr/solr/collection1/data/
INFO  - 2015-06-28 10:53:51.213; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2015-06-28 10:53:51.218; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2015-06-28 10:53:51.219; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2015-06-28 10:53:51.237; org.apache.solr.core.CachingDirectoryFactory; return new directory for /opt/solr/solr/collection1/data
INFO  - 2015-06-28 10:53:51.237; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/opt/solr/solr/collection1/data/index/
WARN  - 2015-06-28 10:53:51.238; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/opt/solr/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2015-06-28 10:53:51.248; org.apache.solr.core.CachingDirectoryFactory; return new directory for /opt/solr/solr/collection1/data/index
INFO  - 2015-06-28 10:53:51.515; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/opt/solr/solr/collection1/data/index lockFactory=NativeFSLockFactory@/opt/solr/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-06-28 10:53:51.515; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-06-28 10:53:51.518; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2015-06-28 10:53:51.518; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2015-06-28 10:53:51.519; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2015-06-28 10:53:51.522; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2015-06-28 10:53:51.523; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2015-06-28 10:53:51.631; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2015-06-28 10:53:51.642; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2015-06-28 10:53:51.642; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2015-06-28 10:53:51.644; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2015-06-28 10:53:51.644; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2015-06-28 10:53:51.648; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2015-06-28 10:53:51.648; org.apache.solr.core.RequestHandlers; created /update/json: solr.UpdateRequestHandler
INFO  - 2015-06-28 10:53:51.649; org.apache.solr.core.RequestHandlers; created /update/csv: solr.UpdateRequestHandler
INFO  - 2015-06-28 10:53:51.649; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2015-06-28 10:53:51.650; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2015-06-28 10:53:51.650; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2015-06-28 10:53:51.650; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2015-06-28 10:53:51.650; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2015-06-28 10:53:51.651; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2015-06-28 10:53:51.653; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2015-06-28 10:53:51.655; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2015-06-28 10:53:51.658; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2015-06-28 10:53:51.670; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2015-06-28 10:53:51.670; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-06-28 10:53:51.670; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2015-06-28 10:53:51.670; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-06-28 10:53:51.670; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2015-06-28 10:53:51.671; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-06-28 10:53:51.671; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2015-06-28 10:53:51.671; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-06-28 10:53:51.671; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2015-06-28 10:53:51.671; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-06-28 10:53:51.672; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2015-06-28 10:53:51.706; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-06-28 10:53:51.709; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-06-28 10:53:51.710; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-06-28 10:53:51.731; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2015-06-28 10:53:51.732; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2015-06-28 10:53:51.738; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/opt/solr/solr/collection1/data/index lockFactory=NativeFSLockFactory@/opt/solr/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-06-28 10:53:51.738; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-06-28 10:53:51.746; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@38248df6[collection1] main
INFO  - 2015-06-28 10:53:51.752; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2015-06-28 10:53:51.761; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2015-06-28 10:53:51.769; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2015-06-28 10:53:51.770; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2015-06-28 10:53:51.772; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2015-06-28 10:53:51.790; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2015-06-28 10:53:51.792; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /opt/solr/solr/collection1/conf/elevate.xml
INFO  - 2015-06-28 10:53:51.841; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2015-06-28 10:53:51.842; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@38248df6[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2015-06-28 10:53:51.843; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2015-06-28 10:53:51.848; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/opt/solr
INFO  - 2015-06-28 10:53:51.848; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2015-06-28 10:53:51.917; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=72 
INFO  - 2015-06-28 10:53:51.918; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:4983
INFO  - 2015-06-28 10:53:51.919; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2015-06-28 10:53:51.921; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2015-06-28 10:53:51.923; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2015-06-28 10:53:51.923; org.apache.solr.handler.component.SuggestComponent$SuggesterListener; Loading suggester index for: mySuggester
INFO  - 2015-06-28 10:53:51.924; org.apache.solr.spelling.suggest.SolrSuggester; reload()
INFO  - 2015-06-28 10:53:51.924; org.apache.solr.spelling.suggest.SolrSuggester; build()
INFO  - 2015-06-28 10:53:51.939; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@38248df6[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2015-06-28 10:54:38.876; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1435469078871&wt=json} status=0 QTime=2 
INFO  - 2015-06-28 10:54:39.035; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1435469078959&wt=json} status=0 QTime=73 
INFO  - 2015-06-28 11:12:14.147; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:4983
INFO  - 2015-06-28 11:12:14.148; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/opt/solr/solr-webapp/webapp/},/opt/solr/webapps/solr.war
INFO  - 2015-06-28 11:12:15.150; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=878002621
INFO  - 2015-06-28 11:12:15.150; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@21efcaaf
INFO  - 2015-06-28 11:12:15.151; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0,transaction_logs_total_size=0,transaction_logs_total_number=0}
INFO  - 2015-06-28 11:12:15.152; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2015-06-28 11:12:15.152; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2015-06-28 11:12:15.152; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2015-06-28 11:12:15.154; org.apache.solr.core.SolrCore; [collection1] Closing main searcher on request.
INFO  - 2015-06-28 11:12:15.155; org.apache.solr.core.CachingDirectoryFactory; Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
INFO  - 2015-06-28 11:12:15.176; org.apache.solr.core.CachingDirectoryFactory; looking to close /opt/solr/solr/collection1/data/index [CachedDir<<refCount=0;path=/opt/solr/solr/collection1/data/index;done=false>>]
INFO  - 2015-06-28 11:12:15.176; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /opt/solr/solr/collection1/data/index
INFO  - 2015-06-28 11:12:15.177; org.apache.solr.core.CachingDirectoryFactory; looking to close /opt/solr/solr/collection1/data [CachedDir<<refCount=0;path=/opt/solr/solr/collection1/data;done=false>>]
INFO  - 2015-06-28 11:12:15.177; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /opt/solr/solr/collection1/data
